,id del cliente,páginas visitadas,duración de la sesión,número de visitas,fecha de nacimiento,ubicación,dispositivo,convertido
35,36,7,575.9269478895774,47,1967-11-27 12:27:39.148023,Marte,tablet,Sí
36,37,2,797.4795561041348,12,1975-11-25 12:27:39.148023,Marte,móvil,No
37,38,7,376.33820234384564,29,1997-11-19 12:27:39.148023,Marte,móvil,No
38,39,6,1151.3563436749685,20,1978-11-24 12:27:39.148023,Marte,tablet,No
39,40,2,246.4655116406808,10,1955-11-30 12:27:39.148023,Marte,ordenador,Sí
40,41,6,1227.5628618572368,13,1973-11-25 12:27:39.148023,Marte,tablet,Sí
41,42,5,568.0620218084523,4,1989-11-21 12:27:39.148023,Marte,ordenador,Sí
42,43,7,378.7337029122619,43,1980-11-23 12:27:39.148023,Marte,ordenador,No
43,44,5,250.83817335188914,34,1959-11-29 12:27:39.148023,Marte,móvil,No
44,45,4,834.9376820098851,46,1954-11-30 12:27:39.148023,Marte,ordenador,No
45,46,5,354.36684635034544,15,1980-11-23 12:27:39.148023,Marte,tablet,No
46,47,10,340.84392791993196,37,1988-11-21 12:27:39.148023,Marte,móvil,No
47,48,6,1195.8750861010878,5,1965-11-27 12:27:39.148023,Marte,tablet,Sí
48,49,4,1047.0401983097843,5,1972-11-25 12:27:39.148023,Marte,tablet,Sí
49,50,7,2387.4894925626713,15,1960-11-28 12:27:39.148023,Marte,tablet,No
50,51,3,2394.3285815342824,25,1964-11-27 12:27:39.148023,Marte,tablet,No
51,52,2,1376.7440146836766,24,1956-11-29 12:27:39.148023,Marte,tablet,Sí
52,53,2,27.947965819751346,1,1960-11-28 12:27:39.148023,Marte,tablet,Sí
53,54,6,564.2084415008023,3,1977-11-24 12:27:39.148023,Marte,tablet,Sí
54,55,2,3612.5552830832953,17,1884-12-16 12:27:39.148023,Marte,ordenador,No
55,56,5,1524.4886347425766,32,1998-11-19 12:27:39.148023,Marte,ordenador,Sí
56,57,3,85.34058392181137,29,1959-11-29 12:27:39.148023,Marte,móvil,Sí
57,58,6,78.53526700931026,13,2004-11-17 12:27:39.148023,Marte,ordenador,Sí
58,59,2,2252.8181644116885,39,1990-11-21 12:27:39.148023,Marte,ordenador,Sí
59,60,4,1559.073698655937,23,1960-11-28 12:27:39.148023,Marte,ordenador,Sí
60,61,4,1952.314762618393,36,1969-11-26 12:27:39.148023,Marte,móvil,Sí
61,62,4,201.84098109113597,24,2004-11-17 12:27:39.148023,Marte,móvil,Sí
62,63,8,13.098551202759094,42,1979-11-24 12:27:39.148023,Marte,tablet,Sí
63,64,7,166.39648602442193,7,2003-11-18 12:27:39.148023,Marte,móvil,Sí
64,65,11,1047.5933552585097,11,1974-11-25 12:27:39.148023,Marte,tablet,No
65,66,3,8.975321586427675,42,1992-11-20 12:27:39.148023,Marte,móvil,Sí
66,67,4,552.6003767676052,18,1954-11-30 12:27:39.148023,Marte,tablet,No
67,68,1,12.136350793583832,18,1992-11-20 12:27:39.148023,Marte,tablet,No
68,69,4,236.17384432025688,31,1975-11-25 12:27:39.148023,Marte,móvil,No
69,70,5,275.59011803353445,38,1970-11-26 12:27:39.148023,Marte,ordenador,No
70,71,1,111.16316982677387,35,1956-11-29 12:27:39.148023,Marte,ordenador,Sí
71,72,2,1218.128629603229,42,1957-11-29 12:27:39.148023,Marte,móvil,No
72,73,2,1643.2970505620588,30,1973-11-25 12:27:39.148023,Marte,móvil,Sí
73,74,5,1070.349901522476,6,2002-11-18 12:27:39.148023,Marte,móvil,Sí
74,75,5,1812.6092914994217,43,1986-11-22 12:27:39.148023,Marte,ordenador,Sí
75,76,5,494.2817584947241,42,1962-11-28 12:27:39.148023,Marte,móvil,No
76,77,7,1194.61453350875,39,1957-11-29 12:27:39.148023,Marte,tablet,Sí
77,78,8,888.1387108959103,28,1971-11-26 12:27:39.148023,Marte,ordenador,No
78,79,4,1276.1664814269943,4,1988-11-21 12:27:39.148023,Marte,tablet,Sí
79,80,6,1268.8489819707274,25,1998-11-19 12:27:39.148023,Marte,móvil,Sí
80,81,4,1873.0020839198944,26,1985-11-22 12:27:39.148023,Marte,ordenador,Sí
81,82,10,348.8281237397228,38,1962-11-28 12:27:39.148023,Marte,móvil,No
82,83,3,713.6028931600159,12,1965-11-27 12:27:39.148023,Marte,tablet,No
83,84,8,89.78820307396447,28,1955-11-30 12:27:39.148023,Marte,ordenador,Sí
84,85,5,360.2814112564355,16,1975-11-25 12:27:39.148023,Marte,tablet,No
85,86,7,721.6455329199434,39,1984-11-22 12:27:39.148023,Marte,móvil,Sí
86,87,3,334.93861598614694,20,1987-11-22 12:27:39.148023,Marte,móvil,Sí
87,88,8,18.655255223003856,9,1978-11-24 12:27:39.148023,Marte,tablet,No
88,89,2,3407.650767026398,47,1975-11-25 12:27:39.148023,Marte,móvil,No
89,90,1,2136.209426979482,23,1971-11-26 12:27:39.148023,Marte,móvil,No
90,91,4,411.53800990991624,37,1955-11-30 12:27:39.148023,Marte,ordenador,No
91,92,4,96.46184269201457,7,1960-11-28 12:27:39.148023,Marte,tablet,No
92,93,4,513.7325319086049,30,1966-11-27 12:27:39.148023,Marte,ordenador,No
93,94,4,93.19179215925539,13,1984-11-22 12:27:39.148023,Marte,móvil,No
94,95,6,397.6276858499189,2,1999-11-19 12:27:39.148023,Marte,tablet,Sí
95,96,4,1383.2439634470713,32,1977-11-24 12:27:39.148023,Marte,ordenador,No
96,97,12,344.5733050754063,22,1977-11-24 12:27:39.148023,Marte,móvil,Sí
97,98,1,1104.420853098109,30,1986-11-22 12:27:39.148023,Marte,móvil,Sí
98,99,6,1211.8248086440908,24,1963-11-28 12:27:39.148023,Marte,tablet,No
99,100,3,155.72082831167126,30,1973-11-25 12:27:39.148023,Marte,ordenador,Sí
100,101,3,350.43821906192534,26,1983-11-23 12:27:39.148023,Marte,tablet,Sí
101,102,6,384.1879287257109,46,2005-11-17 12:27:39.148023,Marte,tablet,Sí
102,103,6,236.16575637326656,40,1964-11-27 12:27:39.148023,Marte,ordenador,No
103,104,4,100.37233113560488,13,1990-11-21 12:27:39.148023,Marte,móvil,No
104,105,6,616.8506213640779,6,1969-11-26 12:27:39.148023,Marte,móvil,Sí
105,106,4,1738.9444709595011,37,1985-11-22 12:27:39.148023,Marte,tablet,No
106,107,10,1063.1444927736602,3,1992-11-20 12:27:39.148023,Marte,tablet,Sí
107,108,2,639.1326583111335,16,1984-11-22 12:27:39.148023,Marte,tablet,Sí
108,109,4,1152.4638506330712,13,1998-11-19 12:27:39.148023,Marte,tablet,Sí
109,110,8,1135.8136264289749,10,1961-11-28 12:27:39.148023,Marte,tablet,Sí
110,111,5,865.3359413858345,16,1956-11-29 12:27:39.148023,Marte,ordenador,Sí
111,112,3,266.6047378218393,49,1997-11-19 12:27:39.148023,Marte,tablet,No
112,113,5,282.36094730515015,21,2001-11-18 12:27:39.148023,Marte,tablet,No
113,114,6,96.040892840523,20,1971-11-26 12:27:39.148023,Marte,ordenador,Sí
114,115,4,1152.17587709586,16,1956-11-29 12:27:39.148023,Marte,tablet,Sí
115,116,5,3716.4272298290007,44,1972-11-25 12:27:39.148023,Marte,móvil,No
116,117,3,241.69816347941796,36,1988-11-21 12:27:39.148023,Marte,tablet,No
117,118,6,143.91197938082317,49,1981-11-23 12:27:39.148023,Marte,ordenador,No
118,119,5,274.94234211224205,16,1963-11-28 12:27:39.148023,Marte,móvil,Sí
119,120,4,165.3825573902127,34,1955-11-30 12:27:39.148023,Marte,ordenador,No
120,121,2,2648.3155413401655,41,1981-11-23 12:27:39.148023,Marte,tablet,No
121,122,2,386.4679321448753,7,1983-11-23 12:27:39.148023,Marte,móvil,Sí
122,123,5,382.9659911241211,31,1994-11-20 12:27:39.148023,Marte,móvil,No
123,124,7,505.75868694640604,42,1982-11-23 12:27:39.148023,Marte,ordenador,No
124,125,9,2196.793606821232,39,2002-11-18 12:27:39.148023,Marte,ordenador,Sí
125,126,5,4776.196211122105,10,1969-11-26 12:27:39.148023,Marte,móvil,No
126,127,3,959.9751859932145,18,1925-12-07 12:27:39.148023,Marte,móvil,No
127,128,4,1470.781069967068,27,2005-11-17 12:27:39.148023,Marte,móvil,No
128,129,8,32.468244568675345,39,2000-11-18 12:27:39.148023,Marte,móvil,Sí
129,130,0,1630.4574247682244,0,1966-11-27 12:27:39.148023,Marte,ordenador,Sí
130,131,5,263.38115318752506,9,1992-11-20 12:27:39.148023,Marte,ordenador,No
131,132,9,378.7697308785374,18,1982-11-23 12:27:39.148023,Marte,ordenador,No
132,133,6,1595.9875394539304,5,1964-11-27 12:27:39.148023,Marte,tablet,Sí
133,134,4,27.015677809026954,20,1978-11-24 12:27:39.148023,Marte,tablet,No
134,135,3,976.1900887428641,11,2005-11-17 12:27:39.148023,Marte,tablet,No
135,136,6,340.99602525740477,0,1998-11-19 12:27:39.148023,Marte,móvil,Sí
136,137,3,2431.4936483272395,9,1981-11-23 12:27:39.148023,Marte,ordenador,Sí
137,138,9,370.3287486682041,41,1973-11-25 12:27:39.148023,Marte,móvil,No
138,139,4,232.6373811876862,8,1955-11-30 12:27:39.148023,Marte,ordenador,No
139,140,5,451.559519661229,5,1964-11-27 12:27:39.148023,Marte,móvil,No
140,141,2,837.9608267407394,25,1977-11-24 12:27:39.148023,Marte,móvil,Sí
141,142,6,1010.8401174965576,43,1906-12-12 12:27:39.148023,Marte,móvil,Sí
142,143,6,110.81132779318037,37,1980-11-23 12:27:39.148023,Marte,ordenador,Sí
143,144,3,1436.2290525942833,28,1997-11-19 12:27:39.148023,Marte,tablet,No
144,145,9,606.0904069688919,17,1970-11-26 12:27:39.148023,Marte,tablet,No
145,146,5,179.00630560875965,44,1987-11-22 12:27:39.148023,Marte,móvil,No
146,147,7,720.676490891512,9,1965-11-27 12:27:39.148023,Marte,tablet,Sí
147,148,6,789.5516389918743,15,1967-11-27 12:27:39.148023,Marte,ordenador,No
148,149,7,1075.684534646345,6,1964-11-27 12:27:39.148023,Marte,móvil,Sí
149,150,8,951.8143325483647,10,2001-11-18 12:27:39.148023,Marte,tablet,No
150,151,8,414.12993278302747,11,2005-11-17 12:27:39.148023,Ciudad A,móvil,No
151,152,3,247.93091910418897,6,1986-11-22 12:27:39.148023,Ciudad B,ordenador,No
152,153,4,261.7241782210329,19,1966-11-27 12:27:39.148023,Ciudad B,ordenador,No
153,154,2,294.07679418743606,31,1975-11-25 12:27:39.148023,Ciudad B,tablet,No
154,155,5,363.2874110330263,23,1998-11-19 12:27:39.148023,Ciudad A,móvil,Sí
155,156,9,391.33932518486415,3,1993-11-20 12:27:39.148023,Ciudad B,móvil,Sí
156,157,3,267.4255414772783,43,1994-11-20 12:27:39.148023,Ciudad A,tablet,Sí
157,158,4,296.433340234308,46,1974-11-25 12:27:39.148023,Ciudad A,móvil,No
158,159,3,234.34830786975178,46,1965-11-27 12:27:39.148023,Ciudad A,tablet,No
159,160,3,301.1212801080936,5,1991-11-21 12:27:39.148023,Ciudad B,móvil,Sí
160,161,7,348.78574703838717,34,1955-11-30 12:27:39.148023,Ciudad B,tablet,No
161,162,4,292.13958547166214,43,2004-11-17 12:27:39.148023,Ciudad A,tablet,Sí
162,163,5,304.3588639917255,28,1958-11-29 12:27:39.148023,Ciudad B,ordenador,No
163,164,4,269.692491241711,16,1989-11-21 12:27:39.148023,Ciudad A,ordenador,Sí
164,165,7,235.61486017431585,44,1966-11-27 12:27:39.148023,Ciudad A,ordenador,No
165,166,9,275.7443778931089,7,1966-11-27 12:27:39.148023,Ciudad A,móvil,Sí
166,167,3,284.11180522203205,36,1986-11-22 12:27:39.148023,Ciudad A,tablet,No
167,168,4,219.356565634052,14,1982-11-23 12:27:39.148023,Ciudad A,ordenador,Sí
168,169,5,394.56313053646875,49,1954-11-30 12:27:39.148023,Ciudad C,ordenador,No
169,170,5,342.4569736349107,5,1984-11-22 12:27:39.148023,Ciudad A,ordenador,No
170,171,4,186.39296048777575,22,1981-11-23 12:27:39.148023,Ciudad B,móvil,Sí
171,172,2,326.4313960298145,24,1966-11-27 12:27:39.148023,Ciudad B,ordenador,No
172,173,6,167.12488498607718,35,2001-11-18 12:27:39.148023,Ciudad B,tablet,No
173,174,7,316.38496455751454,13,1982-11-23 12:27:39.148023,Ciudad A,ordenador,No
174,175,5,329.7679263541079,35,1959-11-29 12:27:39.148023,Ciudad B,ordenador,No
175,176,3,239.77325219028353,6,1992-11-20 12:27:39.148023,Ciudad B,ordenador,No
176,177,3,315.2867045191864,8,1996-11-19 12:27:39.148023,Ciudad A,móvil,Sí
177,178,6,350.1105166061488,3,1967-11-27 12:27:39.148023,Ciudad A,móvil,No
178,179,5,380.21139605529555,38,1982-11-23 12:27:39.148023,Ciudad A,tablet,No
179,180,4,245.89982332785593,46,1997-11-19 12:27:39.148023,Ciudad A,móvil,No
180,181,1,292.4253822975542,45,1964-11-27 12:27:39.148023,Ciudad A,tablet,Sí
181,182,1,338.64357832057107,1,1977-11-24 12:27:39.148023,Ciudad B,ordenador,Sí
182,183,3,355.79935580297007,22,1964-11-27 12:27:39.148023,Ciudad A,móvil,No
183,184,4,340.46565268821746,49,1998-11-19 12:27:39.148023,Ciudad A,tablet,Sí
184,185,6,293.6328006026992,34,1993-11-20 12:27:39.148023,Ciudad A,móvil,Sí
185,186,7,301.16563238924124,13,1997-11-19 12:27:39.148023,Ciudad A,móvil,No
186,187,4,356.30895666325614,15,1966-11-27 12:27:39.148023,Ciudad B,ordenador,Sí
187,188,3,321.2119683686614,21,1997-11-19 12:27:39.148023,Ciudad B,tablet,Sí
188,189,7,253.02407702311066,15,1955-11-30 12:27:39.148023,Ciudad B,ordenador,No
189,190,4,336.3715288035968,5,1987-11-22 12:27:39.148023,Ciudad A,ordenador,No
190,191,4,341.46621357155885,28,1982-11-23 12:27:39.148023,Ciudad B,ordenador,Sí
191,192,10,267.982165330239,22,1980-11-23 12:27:39.148023,Ciudad B,móvil,No
192,193,1,299.93571213332996,3,1962-11-28 12:27:39.148023,Ciudad B,ordenador,No
193,194,7,294.9253163908959,38,1982-11-23 12:27:39.148023,Ciudad B,móvil,No
194,195,4,319.9528381536195,48,1955-11-30 12:27:39.148023,Ciudad A,móvil,No
195,196,3,303.2290861405171,16,1999-11-19 12:27:39.148023,Ciudad B,ordenador,Sí
196,197,2,225.0542104027879,0,1955-11-30 12:27:39.148023,Ciudad C,tablet,Sí
197,198,7,227.882787919519,10,1975-11-25 12:27:39.148023,Ciudad A,tablet,No
198,199,5,272.72338619303036,23,1972-11-25 12:27:39.148023,Ciudad A,móvil,Sí
199,200,2,254.97021918742337,30,1987-11-22 12:27:39.148023,Ciudad B,móvil,No
200,201,8,314.7409445486569,18,1969-11-26 12:27:39.148023,Ciudad B,móvil,Sí
201,202,6,228.71783226265765,5,1981-11-23 12:27:39.148023,Ciudad A,ordenador,Sí
202,203,8,282.30962513728684,8,1969-11-26 12:27:39.148023,Ciudad A,ordenador,No
203,204,5,361.9949682732215,14,1970-11-26 12:27:39.148023,Ciudad B,móvil,No
204,205,9,290.05435460742245,28,1912-12-10 12:27:39.148023,Ciudad B,móvil,Sí
205,206,4,341.42191384708104,14,1963-11-28 12:27:39.148023,Ciudad B,ordenador,No
206,207,4,262.07266771355586,20,1984-11-22 12:27:39.148023,Ciudad A,móvil,Sí
207,208,8,287.31155786501074,13,1965-11-27 12:27:39.148023,Ciudad B,ordenador,No
208,209,3,219.41141065261962,14,1982-11-23 12:27:39.148023,Ciudad A,móvil,Sí
209,210,2,384.39301455352233,5,1988-11-21 12:27:39.148023,Ciudad B,tablet,No
210,211,4,288.7657630231452,33,1980-11-23 12:27:39.148023,Ciudad A,tablet,No
211,212,4,390.9404870491691,39,1972-11-25 12:27:39.148023,Ciudad B,ordenador,Sí
212,213,9,268.11337235752103,49,1966-11-27 12:27:39.148023,Ciudad A,tablet,No
213,214,36,305.671737118366,21,2005-11-17 12:27:39.148023,Ciudad A,móvil,No
214,215,10,294.55318426054737,35,1994-11-20 12:27:39.148023,Ciudad B,tablet,Sí
215,216,10,296.90934878454544,22,2005-11-17 12:27:39.148023,Ciudad A,móvil,Sí
216,217,3,287.4933290256868,33,1996-11-19 12:27:39.148023,Ciudad A,ordenador,Sí
217,218,2,241.49006859290276,48,2004-11-17 12:27:39.148023,Ciudad B,ordenador,No
218,219,4,289.1265953458317,39,1961-11-28 12:27:39.148023,Ciudad A,móvil,Sí
219,220,6,365.533078371714,41,1998-11-19 12:27:39.148023,Ciudad A,móvil,No
220,221,8,310.76485625286534,0,1958-11-29 12:27:39.148023,Ciudad A,ordenador,No
221,222,2,214.48697608572516,47,2000-11-18 12:27:39.148023,Ciudad A,móvil,No
222,223,8,357.46097784941725,35,1916-12-09 12:27:39.148023,Ciudad A,ordenador,No
223,224,5,344.04594008256015,1,1994-11-20 12:27:39.148023,Ciudad B,ordenador,Sí
224,225,8,302.6427144796036,17,1955-11-30 12:27:39.148023,Ciudad B,tablet,Sí
225,226,4,232.59674128301003,6,1996-11-19 12:27:39.148023,Ciudad A,móvil,No
226,227,7,199.05158726315216,49,2000-11-18 12:27:39.148023,Ciudad A,ordenador,Sí
227,228,4,330.9902016558746,6,1954-11-30 12:27:39.148023,Ciudad B,ordenador,Sí
228,229,6,272.2915250337646,34,1960-11-28 12:27:39.148023,Ciudad A,tablet,No
229,230,10,190.2585236125095,18,1993-11-20 12:27:39.148023,Ciudad A,tablet,Sí
230,231,3,333.2924742625575,36,1989-11-21 12:27:39.148023,Ciudad A,móvil,No
231,232,3,261.3352028718597,16,1958-11-29 12:27:39.148023,Ciudad A,móvil,No
232,233,6,310.9417558395046,29,1970-11-26 12:27:39.148023,Ciudad A,ordenador,No
233,234,6,288.4322764200293,8,1985-11-22 12:27:39.148023,Ciudad B,ordenador,No
234,235,7,335.27421826826395,40,2001-11-18 12:27:39.148023,Ciudad A,tablet,No
235,236,3,266.2224218350168,43,1973-11-25 12:27:39.148023,Ciudad A,ordenador,No
236,237,5,346.8677604180551,32,2000-11-18 12:27:39.148023,Ciudad B,móvil,Sí
237,238,2,392.0460485625978,34,1974-11-25 12:27:39.148023,Ciudad A,móvil,No
238,239,3,342.3608028327583,17,2000-11-18 12:27:39.148023,Ciudad A,tablet,Sí
239,240,2,326.1037285287422,48,1973-11-25 12:27:39.148023,Ciudad B,móvil,No
240,241,7,290.3241548536048,5,1982-11-23 12:27:39.148023,Ciudad B,móvil,No
241,242,8,257.99373015686984,9,2001-11-18 12:27:39.148023,Ciudad A,tablet,No
242,243,4,294.538616311151,10,1965-11-27 12:27:39.148023,Ciudad B,ordenador,No
243,244,11,308.02164407813365,44,1974-11-25 12:27:39.148023,Ciudad B,móvil,Sí
244,245,9,287.2445909474278,41,1957-11-29 12:27:39.148023,Ciudad A,móvil,No
245,246,3,337.14310313854656,41,1982-11-23 12:27:39.148023,Ciudad B,ordenador,Sí
246,247,5,271.7176554804489,16,1997-11-19 12:27:39.148023,Ciudad A,ordenador,No
247,248,4,225.31647695653243,24,1957-11-29 12:27:39.148023,Ciudad A,tablet,Sí
248,249,9,237.64010731201407,24,1972-11-25 12:27:39.148023,Ciudad A,ordenador,No
249,250,3,256.51060121723754,22,1967-11-27 12:27:39.148023,Ciudad B,móvil,Sí
250,251,1,324.23784471042313,4,1997-11-19 12:27:39.148023,Ciudad B,tablet,Sí
251,252,6,316.20783108889833,6,1976-11-24 12:27:39.148023,Ciudad A,ordenador,No
252,253,5,335.44517440665294,20,1973-11-25 12:27:39.148023,Ciudad B,ordenador,Sí
253,254,10,431.03449173277784,0,1956-11-29 12:27:39.148023,Ciudad B,ordenador,Sí
254,255,7,234.4482624801212,48,1980-11-23 12:27:39.148023,Ciudad B,ordenador,Sí
255,256,8,275.07062461458116,46,1998-11-19 12:27:39.148023,Ciudad A,móvil,No
256,257,4,228.91351189320486,11,2003-11-18 12:27:39.148023,Ciudad B,móvil,Sí
257,258,9,263.73667678885033,39,1885-12-16 12:27:39.148023,Ciudad B,ordenador,Sí
258,259,7,392.72423464752035,13,1992-11-20 12:27:39.148023,Ciudad B,ordenador,No
259,260,3,362.5729557331413,31,1965-11-27 12:27:39.148023,Ciudad A,tablet,Sí
260,261,5,247.02653669369897,17,1968-11-26 12:27:39.148023,Ciudad A,móvil,No
261,262,1,289.4741365292541,7,1956-11-29 12:27:39.148023,Ciudad A,móvil,No
262,263,3,250.62834674503384,10,1979-11-24 12:27:39.148023,Ciudad A,móvil,Sí
263,264,8,217.72626936855636,47,1989-11-21 12:27:39.148023,Ciudad B,tablet,No
264,265,5,301.1023705587991,2,1975-11-25 12:27:39.148023,Ciudad A,tablet,Sí
265,266,5,296.8876694760379,34,1954-11-30 12:27:39.148023,Ciudad B,tablet,No
266,267,7,284.4731166344002,19,1997-11-19 12:27:39.148023,Ciudad B,móvil,No
267,268,9,378.2797983230239,14,1968-11-26 12:27:39.148023,Ciudad B,ordenador,Sí
268,269,2,251.7892728098449,18,1956-11-29 12:27:39.148023,Ciudad B,tablet,Sí
269,270,11,349.2938343325621,29,1978-11-24 12:27:39.148023,Ciudad B,ordenador,No
270,271,0,313.5697040233933,32,1981-11-23 12:27:39.148023,Ciudad A,tablet,No
271,272,4,236.17990343278092,10,1986-11-22 12:27:39.148023,Ciudad A,móvil,Sí
272,273,8,241.40658752892327,24,1981-11-23 12:27:39.148023,Ciudad A,tablet,No
273,274,3,348.208574986008,37,2002-11-18 12:27:39.148023,Ciudad B,tablet,Sí
274,275,6,303.36436558629606,24,1999-11-19 12:27:39.148023,Ciudad B,ordenador,Sí
275,276,7,338.61862704135274,36,1983-11-23 12:27:39.148023,Ciudad A,tablet,No
276,277,5,304.6437354544002,22,1975-11-25 12:27:39.148023,Ciudad B,ordenador,No
277,278,5,286.7486825606006,22,1987-11-22 12:27:39.148023,Ciudad B,tablet,No
278,279,4,384.8397142837967,17,1875-12-19 12:27:39.148023,Ciudad B,móvil,No
279,280,5,273.06881711824207,49,1961-11-28 12:27:39.148023,Ciudad A,ordenador,Sí
280,281,4,322.1969914466438,17,1954-11-30 12:27:39.148023,Ciudad A,móvil,Sí
281,282,8,293.92009879364645,10,1955-11-30 12:27:39.148023,Ciudad A,móvil,Sí
282,283,4,304.1516068473731,26,1971-11-26 12:27:39.148023,Ciudad B,móvil,Sí
283,284,3,344.52092331171383,28,1954-11-30 12:27:39.148023,Ciudad A,tablet,Sí
284,285,4,314.9329122407769,15,1998-11-19 12:27:39.148023,Ciudad A,móvil,Sí
285,286,5,314.4895681639267,10,1985-11-22 12:27:39.148023,Ciudad B,tablet,Sí
286,287,4,317.7356250544236,16,1978-11-24 12:27:39.148023,Ciudad B,ordenador,Sí
287,288,4,248.28133714031878,0,1958-11-29 12:27:39.148023,Ciudad A,ordenador,No
288,289,5,301.43978751910356,22,2005-11-17 12:27:39.148023,Ciudad B,móvil,No
289,290,7,351.8853058980112,46,1971-11-26 12:27:39.148023,Ciudad A,ordenador,Sí
290,291,5,234.24743801322867,31,1993-11-20 12:27:39.148023,Ciudad A,móvil,Sí
291,292,5,344.84324020544494,30,1962-11-28 12:27:39.148023,Ciudad A,ordenador,No
292,293,4,334.34242051861736,46,1980-11-23 12:27:39.148023,Ciudad A,móvil,No
293,294,9,281.7104705424236,7,1954-11-30 12:27:39.148023,Ciudad A,móvil,No
294,295,3,265.53380696230386,16,2003-11-18 12:27:39.148023,Ciudad A,tablet,No
295,296,6,381.15132944577556,23,1978-11-24 12:27:39.148023,Ciudad B,tablet,No
296,297,26,300.8580893139411,10,1995-11-20 12:27:39.148023,Ciudad B,ordenador,No
297,298,7,368.32383577653746,0,1982-11-23 12:27:39.148023,Ciudad A,tablet,Sí
298,299,4,361.37823505083617,39,1997-11-19 12:27:39.148023,Ciudad B,móvil,Sí
299,300,2,343.12101339365466,3,1999-11-19 12:27:39.148023,Ciudad B,móvil,No
300,301,9,216.33386742944577,38,1988-11-21 12:27:39.148023,Ciudad B,ordenador,Sí
301,302,10,392.3295228697161,6,1963-11-28 12:27:39.148023,Ciudad A,móvil,No
302,303,6,303.0073180531841,8,1991-11-21 12:27:39.148023,Ciudad B,móvil,No
303,304,6,250.29920742551838,1,1985-11-22 12:27:39.148023,Ciudad A,móvil,No
304,305,6,291.9711040196463,22,2004-11-17 12:27:39.148023,Ciudad B,tablet,Sí
305,306,3,252.8351618262962,0,1963-11-28 12:27:39.148023,Ciudad A,ordenador,No
306,307,5,268.4212018173012,7,1982-11-23 12:27:39.148023,Ciudad A,móvil,Sí
307,308,4,394.41178684161696,39,1989-11-21 12:27:39.148023,Ciudad B,móvil,No
308,309,8,228.5326831353248,13,1994-11-20 12:27:39.148023,Ciudad A,móvil,Sí
